iter	Passed	Remaining
838	20090	3855
839	20116	3831
840	20142	3808
841	20168	3784
842	20193	3760
843	20218	3737
844	20245	3713
845	20271	3689
846	20296	3666
847	20322	3642
848	20348	3619
849	20375	3595
850	20402	3572
851	20428	3548
852	20456	3525
853	20483	3501
854	20511	3478
855	20537	3454
856	20562	3431
857	20589	3407
858	20614	3383
859	20640	3360
860	20666	3336
861	20691	3312
862	20718	3289
863	20745	3265
864	20772	3241
865	20799	3218
866	20827	3194
867	20853	3171
868	20880	3147
869	20906	3124
870	20934	3100
871	20959	3076
872	20984	3052
873	21011	3029
874	21037	3005
875	21062	2981
876	21088	2957
877	21115	2933
878	21141	2910
879	21168	2886
880	21195	2862
881	21221	2839
882	21247	2815
883	21272	2791
884	21298	2767
885	21323	2743
886	21349	2719
887	21375	2696
888	21401	2672
889	21427	2648
890	21453	2624
891	21479	2600
892	21505	2576
893	21532	2553
894	21558	2529
895	21582	2505
896	21608	2481
897	21634	2457
898	21659	2433
899	21684	2409
900	21710	2385
901	21738	2361
902	21764	2337
903	21790	2314
904	21816	2290
905	21843	2266
906	21869	2242
907	21896	2218
908	21923	2194
909	21949	2170
910	21977	2147
911	22003	2123
912	22030	2099
913	22059	2075
914	22084	2051
915	22111	2027
916	22137	2003
917	22162	1979
918	22188	1955
919	22214	1931
920	22240	1907
921	22266	1883
922	22292	1859
923	22318	1835
924	22345	1811
925	22369	1787
926	22395	1763
927	22420	1739
928	22445	1715
929	22471	1691
930	22498	1667
931	22523	1643
932	22549	1619
933	22576	1595
934	22603	1571
935	22630	1547
936	22657	1523
937	22684	1499
938	22710	1475
939	22735	1451
940	22762	1427
941	22788	1403
942	22814	1379
943	22839	1354
944	22865	1330
945	22891	1306
946	22916	1282
947	22942	1258
948	22969	1234
949	22995	1210
950	23022	1186
951	23046	1162
952	23071	1137
953	23098	1113
954	23125	1089
955	23150	1065
956	23176	1041
957	23203	1017
958	23228	993
959	23255	968
960	23281	944
961	23307	920
962	23331	896
963	23358	872
964	23384	848
965	23409	823
966	23435	799
967	23460	775
968	23486	751
969	23512	727
970	23538	703
971	23564	678
972	23590	654
973	23616	630
974	23641	606
975	23667	581
976	23692	557
977	23717	533
978	23742	509
979	23769	485
980	23795	460
981	23822	436
982	23848	412
983	23876	388
984	23902	364
985	23929	339
986	23956	315
987	23981	291
988	24007	267
989	24033	242
990	24059	218
991	24085	194
992	24111	169
993	24136	145
994	24162	121
995	24188	97
996	24213	72
997	24238	48
998	24265	24
999	24291	0
